Model,MAE,MSE,RMSE,R2,Adjusted_R2,MAPE (%)
Baseline (Mean),64.00646146990485,5361.533457238513,73.22249283682244,-0.011962984778542296,-0.011962984778542296,62.79179610552188
Simple Linear (bmi),52.259976445345536,4061.8259284949268,63.73245584860925,0.23335039815872138,0.2245383337697412,45.87747779877976
Multiple Linear (all features),42.794094679599944,2900.193628493482,53.85344583676593,0.4526027629719195,0.38242363001960145,37.49982636756113
"Polynomial deg=2 (bmi, s5, bp)",44.02666888764766,2824.899472660367,53.14978337359774,0.4668141633634231,0.4060714731136864,38.81588749540286
